track_id,artist_name,artist_country,genre,year,energy,valence,tempo,danceability,popularity
21969c29-7fd1-4b4d-9542-b7d0952730c3,Stevie Wonder,US,Pop,1969,,,,,
d9015b64-8475-4b0d-86c8-39f187d08e30,Gold,FR,Pop,1986,,,,,
a2dd34cb-1552-4a6c-bb6f-45a9410a3dd7,Rick Nelson,US,Pop,1986,,,,,
59d158eb-2d62-4bf7-8c20-768d68032b21,Rick Nelson,US,Pop,1986,,,,,
2aa469eb-3a29-4ce6-ae1f-b4b1209ff6f0,George Baker Selection,NL,Pop,1986,,,,,
86f73d62-8b1e-4f5d-b120-2ab4f1208b20,Johann K.,AT,Pop,1986,,,,,
76428ead-4754-41de-8750-74b01eacb780,Nicole,DE,Pop,1986,,,,,
2ebf7662-ad7c-43e0-8971-0c28ba5ba779,The Unknown Cases,DE,Pop,1986,,,,,
b1743eda-5c3f-49fa-bd1b-1d90dacd1363,Stevie Wonder,US,Pop,1968,,,,,
74205f2b-085d-4f92-9196-8ee062982c1f,George Baker Selection,NL,Pop,1986,,,,,
677a1a10-2660-4ad4-86ff-955e11e0125b,Prince,US,Pop,1986,,,,,
c2c9676b-b0da-4841-90cf-22a53648e0d3,Rick Nelson,US,Pop,1986,,,,,
a258a26e-e287-4a3d-b47c-86d8a4f626ed,Rick Nelson,US,Pop,1986,,,,,
d53ea77f-2b2a-43f4-a238-4ea253a8864a,Bucks Fizz,GB,Pop,1986,,,,,
eeefd4e4-eadb-4b95-ac66-aaf656a57b1a,Stevie Wonder,US,Pop,1968,,,,,
428bc5ca-7b00-4731-a7b2-f88b4c8c76d7,Die Flippers,DE,Pop,1986,,,,,
8d5b81bf-d466-4e2f-bc25-1254e6fba791,Modern Talking,DE,Pop,1986,,,,,
836fbf7d-a2c8-4a18-be20-6486b2d874dc,Rosie Vela,US,Pop,1986,,,,,
f5a781e5-af3b-4ab8-b21e-2cf8299f474e,I Profeti,IT,Pop,1971,,,,,
3be54d86-4223-4941-8884-ddc0b994e10f,Stevie Wonder,US,Pop,1969,,,,,
46e7bf07-5c09-4355-828d-ae1d92b85981,Stevie Wonder,US,Pop,1969,,,,,
838762c8-3b83-4030-9483-90e22c25c702,Stevie Wonder,US,Pop,1969,,,,,
7d457602-39fb-4a61-b033-fd88d2ba1204,Aurra,US,Pop,1986,,,,,
d3cc36cc-9601-4f06-b24e-0141d30a52d2,Nicole,DE,Pop,1986,,,,,
70eb8190-d939-4605-8f69-e757228bcede,Nicole,DE,Pop,1986,,,,,
7e957f99-2802-4a89-a2fc-7724478824c2,Nicole,DE,Pop,1986,,,,,
acfb8c36-6984-470d-9ae3-80ba51383200,George Baker Selection,NL,Pop,1986,,,,,
464935be-7dd8-4a5b-b4d5-0479c39a20c3,George Baker Selection,NL,Pop,1986,,,,,
7d1578b2-428c-47d6-8c29-38e4eee2fba9,George Baker Selection,NL,Pop,1986,,,,,
7bd90987-6322-44ef-8538-8a7d0ff0ad19,Modern Talking,DE,Pop,1986,,,,,
acf2d3cc-0523-46cd-9019-3e8fdfadfec9,Limahl,GB,Pop,1986,,,,,
914ba939-10ae-4168-bf22-5dae8a97fa99,Elkie Brooks,GB,Pop,1986,,,,,
a7db32be-2bf1-412d-af9e-f44fd2b9c2a6,Orchestral Manoeuvres in the Dark,GB,Electronic,1986,,,,,
d4764fca-ec2a-4654-b16b-f1ddcd8eb93a,Spandau Ballet,GB,Pop,1986,,,,,
2acb46a3-38c1-4214-b178-8bbe05ebffe9,CHAGE and ASKA,JP,Pop,1986,,,,,
d9388556-345a-46ea-bc7a-576addabab9a,CHAGE and ASKA,JP,Pop,1986,,,,,
69a79b8c-827d-46f5-a199-380ad37d6b5d,Ricky King,DE,Pop,1986,,,,,
a4159f24-ffb4-4caf-9275-a536bc6349ed,Breathe,GB,Electronic,1986,,,,,
d693e403-3f2e-4de8-b035-546e53165810,Hans Hartz,DE,Pop,1986,,,,,
d79e7a6d-b02a-49cf-b410-88dfb311477f,Hans Hartz,DE,Pop,1986,,,,,
aee33133-fa86-4182-95f4-8973abb250f8,Hans Hartz,DE,Pop,1986,,,,,
1451c98c-a4ba-4bf2-8705-ee2b4439596f,Thinkman,GB,Electronic,1986,,,,,
351eaa91-7d32-455f-b33d-b8a2e73893d3,Breathe,GB,Electronic,1986,,,,,
729bddf5-2428-4853-af50-dfb55efe4649,Yello,CH,Electronic,1986,,,,,
ab0a9228-277d-4c24-b8cf-4b127a97bb5d,Alisha,US,Pop,1986,,,,,
e4aaad4a-2ba1-4ae4-b970-da8f69d54b77,Erasure,GB,Electronic,1986,,,,,
a643a8b8-2903-4dde-9c48-edd9e303ecc5,Erasure,GB,Electronic,1986,,,,,
7a9fab18-99e4-4225-aa44-c735081d1a21,Katrina and the Waves,GB,Pop,1986,,,,,
1f0b9335-410d-4c9b-9c75-17e06b6fb1b9,CHAGE and ASKA,JP,Pop,1986,,,,,
061f96f9-7734-46a0-ba23-5206bf3fed8c,CHAGE and ASKA,JP,Pop,1986,,,,,
44a1faec-300d-4b55-bb29-7a843d2cfb8f,CHAGE and ASKA,JP,Pop,1986,,,,,
d725673e-1adc-4927-a7c7-f48ebddf32d4,Leevi and the Leavings,FI,Pop,1981,,,,,
f2edc469-0d45-42db-b440-24aa5194404f,Leevi and the Leavings,FI,Pop,1979,,,,,
a645abef-16f5-4f80-91a5-d7150695d52c,Bronski Beat,GB,Electronic,1986,,,,,
3017110c-958d-4fcc-bd03-a342fc6d1cf2,Belinda Carlisle,US,Pop,1986,,,,,
47decf54-46c3-46bd-9629-a5fea0267fdf,Spandau Ballet,GB,Pop,1986,,,,,
9ac74c06-3bde-4709-9790-764e4bf7d5bc,Daryl Hall,US,Pop,1986,,,,,
c2554cc7-d355-4201-bc17-622fe91592ab,Kim Wilde,GB,Pop,1986,,,,,
4fe6c7a0-f345-4610-a3a6-039a7af7c2dc,Hans Hartz,DE,Pop,1986,,,,,
900d8dbe-1050-42cf-97ee-73b3b0fea80b,Hans Hartz,DE,Pop,1986,,,,,
