artist_name,country
Birdman,US
Birdy,GB
Biz Markie,US
Bizarrap,AR
Björk,IS
Black Box,IT
Black Box Recorder,GB
Black Eyed Peas,US
Black Gryph0n,
Black Label Society,US
Black Rob,US
Black Sheep,US
Black Star,US
Black Veil Brides,
BlackHawk,US
Blackstreet,US
Blackway,US
Blake Shelton,US
Blaque,US
Bleachers,US
Blessid Union Of Souls,US
Blind Melon,US
Blitzen Trapper,US
Bloc Party,GB
BlocBoy JB,US
Blondie,US
Bloodhound Gang,US
Bloodstone,US
Blu Cantrell,US
Blue Foundation,DK
Blue October,US
Blue Swede,SE
Blues Traveler,US
Blur,GB
Bo Burnham,US
Boards of Canada,GB
Bob Andy,JM
Bob Marley & The Wailers,JM
Bob Seger,US
Bobby Brown,US
Bobby Caldwell,US
Bobby Darin,US
Bobby McFerrin,US
Bobby Pulido,US
Bobby Shmurda,
Bobby Timmons Trio,US
Bobby V.,US
Bon Iver,US
Bon Jovi,US
Bone Crusher,US
Bone Thugs-N-Harmony,US
Bonnie Raitt,US
Bonnie Tyler,GB
Boosie Badazz,US
Bootsy Collins,US
Boston,
Bow Wow,JP
Bowling For Soup,US
Box Car Racer,US
Boy Meets Girl,US
Boyz II Men,US
Brad Kane,US
Brad Paisley,US
Brand New,US
Brandi Carlile,US
Brandon Lake,US
Brandy,US
Brantley Gilbert,US
Breaking Benjamin,US
Brenda Russell,US
Brent Cobb,US
Brent Faiyaz,US
Brett Eldredge,US
Brett Young,US
Brian McKnight,US
Bridgit Mendler,US
Bright Eyes,US
Bring Me The Horizon,GB
Briston Maroney,US
Britney Spears,US
Broken Bells,US
Bronco,MX
Bronco El Gigante de America,
Brooks & Dunn,US
Brothers Osborne,US
Brown Noise for Babies,
Brownstone,US
Bruce Adler,US
Bruce Cockburn,CA
Bruce Hornsby,US
Bruce Springsteen,US
Bruno Mars,US
Bryan Adams,CA
Bryan Martin,
Bryson Tiller,US
Bubba Sparxxx,US
Buck Owens,US
Buckcherry,US
Buddy Guy,US
Buena Vista Social Club,CU
Built To Spill,US
Bullet For My Valentine,GB
Burna Boy,NG
Bush,
Busta Rhymes,US
Buster Poindexter And His Banshees Of Blue,
Butthole Surfers,US
BØRNS,US
C & C Music Factory,
C.W. McCall,US
C418,DE
CAKE,US
CHAD,
CKY,
CKay,NG
COIN,
CORPSE,US
Ca$h Out,
Caamp,US
Caballo Dorado,
Caesars,SE
Cafuné,US
Café Tacvba,MX
Cage The Elephant,US
Caifanes,MX
Cali Swag District,US
Calibre 50,MX
Calle 13,PR
Calum Scott,GB
Calvin Harris,
Cam,FR
Cameo,US
Camila,US
Camila Cabello,US
Camille,FR
Camille Saint-Saëns,FR
Camp Lo,US
Cam’ron,US
Candlebox,US
Canned Heat,US
Cannibal Corpse,US
Cannons,US
Capital Cities,US
Caramella Girls,SE
Cardenales De Nuevo León,MX
Cardi B,US
Carin Leon,MX
Carl Douglas,JM
Carl Thomas,US
Carla Morrison,MX
Carlos Baute,VE
Carlos Vives,CO
Carly Pearce,US
Carly Rae Jepsen,CA
Carly Simon,US
Carmen Twillie,US
Carolina Gaitán - La Gaita,
Carolina Liar,US
Carrie Underwood,US
Cartel De Santa,MX
Casa De Leones,
Cascada,DE
Case,US
Casey Donahew,
Cass Elliot,US
Cassadee Pope,US
Cassie,US
Casting Crowns,US
Cat Power,US
Catherine Zeta-Jones,GB
Cavetown,
CeCe Peniston,US
Cedarmont Kids,
CeeLo Green,US
Celia Cruz,CU
Celly Cel,US
Central Cee,
Chad Kroeger,CA
Chaka Demus & Pliers,JM
Chaka Khan,US
Chalino Sanchez,MX
Chamillionaire,US
Chance Peña,US
Chance the Rapper,US
Charles & Eddie,US
Charli XCX,
Charlie Parker Quartet,
Charlie Puth,US
Charlie Robison,US
Chase Atlantic,AU
Chase Matthew,US
Chase Rice,US
Chayanne,PR
Chayce Beckham,US
Cheap Trick,US
Chelo,US
Cher,US
Cher Lloyd,GB
Cherish,US
Cherub,US
Cheryl Freeman,
Chevelle,US
ChiChi Peralta,DO
Chicago,US
Chief Keef,US
Childish Gambino,US
Chingy,US
Chino & Nacho,VE
Chino Pacas,MX
Chiodos,US
Chord Overstreet,US
Chorus - Hercules,
Chris Brown,US
Chris Cagle,US
Chris Cornell,US
Chris Isaak,US
Chris Janson,US
Chris LeDoux,US
Chris Stapleton,US
Chris Tomlin,US
Chris Travis,
Chris Young,US
Chris de Burgh,GB
Christian Nodal,MX
Christina Aguilera,US
Christina Milian,US
Christina Perri,US
Christopher Cross,US
Christopher Jackson,CA
Christopher Williams,US
Chuck Berry,US
Chumbawamba,GB
Ciara,
Cigarettes After Sex,US
Cinderella,US
Cities Aviv,US
Citizen Cope,US
Citizen King,US
City Girls,US
City High,US
Clairo,US
Clara La San,GB
Claude Debussy,FR
Clay Walker,US
Clean Bandit,GB
Cliff Edwards,US
Clint Black,US
Clipse,US
Club Nouveau,US
Coal Chamber,US
Cobra Starship,US
Cochise,DE
Coconut Records,US
Cocteau Twins,
Cody Fry,
Cody Jinks,
Cody Johnson,US
Coheed and Cambria,US
Coi Leray,US
Colbie Caillat,US
Colby Acuff,US
Colby O'Donis,US
Cold,AU
Cold War Kids,US
Coldplay,GB
Cole Swindell,US
Colin Firth,GB
Collective Soul,US
Collin Raye,US
Color Me Badd,US
Colt Ford,US
Common,US
Conan Gray,US
Concrete Blonde,US
Confederate Railroad,US
Conjunto Primavera,MX
Conjunto Rienda Real,
Control,GB
Control Machete,MX
Conway Twitty,US
Coolio,US
Corey Hart,CA
Corey Kent,US
Corinne Bailey Rae,GB
Cornelio Reyna,MX
Cornelius Brothers & Sister Rose,US
Corona,IT
Corrosion Of Conformity,US
Cory Asbury,US
Cosculluela,PR
Count Bass D,US
Counting Crows,US
Cowboy Junkies,CA
Coyote Theory,
Cracker,US
Crafting Audio,
Craig David,GB
Craig Mack,US
Craig Morgan,US
Crazy Frog,DE
Crazy Town,US
Creed,US
Crime Mob,US
Cristian Castro,MX
Crofutt,
Cross Canadian Ragweed,US
Crossfade,US
Crowded House,AU
Crystal Castles,CA
Crystal Waters,US
Cuco,MX
Cuisillos De Arturo Macias,
Cults,US
Culture Club,GB
Cupid,US
Current Joys,US
Cute Is What We Aim For,US
Cutting Crew,GB
Cyndi Lauper,US
Cypress Hill,US
Céline Dion,CA
D'Angelo,US
D12,US
D4L,US
DANGERDOOM,US
DISPATCH,US
DJ Jazzy Jeff & The Fresh Prince,US
DJ Khaled,US
DJ Kool,US
DJ Quik,US
DJ Sammy,ES
DJ Scheme,
DJ Shadow,US
DJ Snake,FR
DLG,US
DMX,US
DNCE,US
DOWN,US
DRAM,US
DVRST,RU
Da Brat,US
DaBaby,US
Daddy Yankee,PR
Daft Punk,FR
Dalida,FR
Damian Marley,
Damn Yankees,US
Dan + Shay,US
Dan Fogelberg,US
Dan Hartman,US
