month,genre,region,share
2024-12,Rock,Africa/ME,0.0189
2025-01,Rock,Africa/ME,0.0176
2025-02,Rock,Africa/ME,0.0078
2025-04,Rock,Africa/ME,0.0047
2025-05,Rock,Africa/ME,0.0128
2025-06,Rock,Africa/ME,0.044
2023-10,Electronic,Asia,0.0264
2023-11,Electronic,Asia,0.0236
2023-12,Electronic,Asia,0.0173
2024-01,Electronic,Asia,0.0145
2024-02,Electronic,Asia,0.0099
2024-03,Electronic,Asia,0.0075
2024-04,Electronic,Asia,0.0077
2024-05,Electronic,Asia,0.012
2024-06,Electronic,Asia,0.0136
2024-07,Electronic,Asia,0.0126
2024-08,Electronic,Asia,0.0073
2024-09,Electronic,Asia,0.0077
2024-10,Electronic,Asia,0.0069
2024-11,Electronic,Asia,0.003
2025-04,Electronic,Asia,0.001
2023-11,Hip-Hop,Asia,0.0003
2024-03,Hip-Hop,Asia,0.0065
2024-04,Hip-Hop,Asia,0.0072
2024-05,Hip-Hop,Asia,0.037
2024-06,Hip-Hop,Asia,0.0266
2024-07,Hip-Hop,Asia,0.0309
2024-08,Hip-Hop,Asia,0.0382
2024-09,Hip-Hop,Asia,0.0322
2024-10,Hip-Hop,Asia,0.0018
2024-11,Hip-Hop,Asia,0.0106
2024-12,Hip-Hop,Asia,0.0422
2025-01,Hip-Hop,Asia,0.0456
2025-02,Hip-Hop,Asia,0.097
2025-03,Hip-Hop,Asia,0.0939
2025-04,Hip-Hop,Asia,0.0736
2025-05,Hip-Hop,Asia,0.061
2025-06,Hip-Hop,Asia,0.0696
2024-05,Latin,Asia,0.001
2024-07,Latin,Asia,0.001
2024-08,Latin,Asia,0.0002
2023-10,Pop,Asia,0.871
2023-11,Pop,Asia,0.8895
2023-12,Pop,Asia,0.8713
2024-01,Pop,Asia,0.879
2024-02,Pop,Asia,0.8947
2024-03,Pop,Asia,0.9117
2024-04,Pop,Asia,0.9211
2024-05,Pop,Asia,0.8637
2024-06,Pop,Asia,0.8844
2024-07,Pop,Asia,0.8807
2024-08,Pop,Asia,0.9045
2024-09,Pop,Asia,0.9211
2024-10,Pop,Asia,0.959
2024-11,Pop,Asia,0.9606
2024-12,Pop,Asia,0.9093
2025-01,Pop,Asia,0.8608
2025-02,Pop,Asia,0.8308
2025-03,Pop,Asia,0.8554
2025-04,Pop,Asia,0.8659
2025-05,Pop,Asia,0.8874
2025-06,Pop,Asia,0.8732
2023-10,R&B,Asia,0.0787
2023-11,R&B,Asia,0.0686
2023-12,R&B,Asia,0.0854
2024-01,R&B,Asia,0.0788
2024-02,R&B,Asia,0.071
2024-03,R&B,Asia,0.0594
2024-04,R&B,Asia,0.0498
2024-05,R&B,Asia,0.0786
2024-06,R&B,Asia,0.0686
2024-07,R&B,Asia,0.0675
2024-08,R&B,Asia,0.0425
2024-09,R&B,Asia,0.0314
2024-10,R&B,Asia,0.0255
2024-11,R&B,Asia,0.0173
2024-12,R&B,Asia,0.0395
2025-01,R&B,Asia,0.071
2025-02,R&B,Asia,0.061
2025-03,R&B,Asia,0.0502
2025-04,R&B,Asia,0.0567
