artist_id,artist_name,country,region,collaborator_id,collaborator_name,collab_country,collab_region,collaboration_count,year
1598ccda-b164-4bff-9821-f9ff5a8587a8,Dalida,FR,Europe,dd8b4b8f-582b-45fd-814e-5a9b0c4de552,Raymond Lefèvre et son orchestre,FR,Europe,1,1956
54a783d6-1066-4a3d-b3ee-d12547ea5daa,Chubb Rock,US,North America,f368568b-1f9f-4d29-99e7-89a2125d0cfe,Tevin Campbell,US,North America,1,1991
9030ae90-4db2-4a9c-aa08-01cf17a86b58,Ben Watt,GB,Europe,9f041c61-f382-4048-a1f1-33105124bb99,Robert Wyatt,GB,Europe,1,1982
2fe99df9-5262-447f-8525-302c5bd2ebf6,The Texas Instruments,US,North America,8a7ca8b0-d23c-4eff-8fe9-6220ba5c9c76,Daniel Johnston,US,North America,1,1985
067010e4-aaaf-479d-b33d-f71b7bf12434,Raza,AR,Latin America,e161330c-8c2a-4ccc-80c6-88d48f9d4095,Chris Montez,US,North America,1,1973
c2d25856-a09a-4d15-b404-77dd19c19e63,R. Kelly,US,North America,eedac904-9fd2-43f1-af88-cc0ee2646a9e,Public Announcement,US,North America,13,1992
3ac5c83b-757f-473f-abda-677d07fd3135,Chris Abrahams,AU,Oceania,470a8509-ec1c-4baa-9273-f0b65e70ac22,Melanie Oxley,AU,Oceania,23,1992
bcf8a5d0-9339-41f4-8015-582c54cc251c,Kathy Young,US,North America,e161330c-8c2a-4ccc-80c6-88d48f9d4095,Chris Montez,US,North America,6,1992
5aac15d2-a7d1-4cb9-9327-feba978461d2,Jellybean,US,North America,b8aca05d-a8fa-4ff9-b64e-1d578af3b07e,Adele Bertei,US,North America,1,1988
3eedf1d1-9ad2-4231-915a-d2410fe35a2a,Lola Massey,CA,North America,d8ae63c6-6fce-41b2-98ba-e570bc4007ca,Terry Jacks,CA,North America,1,1992
0d6b3841-283e-4ad9-81f6-88acef21234e,The Plastic Population,GB,Europe,6041bca6-d070-4894-8019-da9538f2c33d,Yazz,GB,Europe,6,1988
c0336f2a-610f-4b38-bc13-eb07393425a7,Shabba Ranks,JM,Latin America,fc6548d9-cc7e-4311-bd6c-6eba9c0cd06f,Maxi Priest,GB,Europe,1,1992
68b8199b-eff2-45fb-be86-da8138d97067,Jonathan Butler,US,North America,feb799ee-51fc-4ef9-a66d-59407461bf84,Ruby Turner,GB,Europe,1,1986
b896aa8c-2761-40ce-b485-0e1fffd26167,Dusty Springfield,GB,Europe,be540c02-7898-4b79-9acc-c8122c7d9e83,Pet Shop Boys,GB,Europe,1,1987
1ee7489a-af64-4ca2-9041-c1d8588b3a97,Roger Troutman,US,North America,e89e79d4-04c1-4bc3-9be1-a15899c93d8f,Zapp,US,North America,4,1993
b5997eef-2516-491a-a10e-5cee842bbcdc,Louis Prima,US,North America,ca3f7a20-1bff-4404-8928-f8eedab1ab4a,Keely Smith,US,North America,1,1959
26bcd35d-56a3-4e4d-8ad7-7bc5787c3af1,Salt‐N‐Pepa,US,North America,9a883a69-436b-4d17-9ffd-122a9bf4419a,En Vogue,US,North America,2,1993
002e9f6e-13af-4347-83c5-f5ace70e0ec4,Lulu,GB,Europe,646b8378-2f57-43d1-b9a4-99d0d787b8c5,The Dixie Flyers,US,North America,2,1970
577d92bd-32ac-48b6-86df-4db6b0b52fbf,Neil Sedaka,US,North America,a9bcf9c0-0b29-476c-b4eb-a531052071cd,Dara Sedaka,US,North America,1,1994
53b106e7-0cc6-42cc-ac95-ed8d30a3a98e,John Williams,US,North America,cba412a5-4f8d-4999-827a-92b63e112892,Boston Pops Orchestra,US,North America,10,1993
22186d73-ca56-47a8-81e6-11d56e46462b,Marcella Detroit,US,North America,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,Elton John,GB,Europe,2,1994
4f6654b3-0ae3-44bc-9bed-e9477446beab,Академический ансамбль песни и пляски Российской Армии имени А. В. Александрова,RU,Europe,bd872e2f-3dce-4932-b8dc-91cf949cfbb5,Leningrad Cowboys,FI,Europe,2,1994
5e46c0d2-15af-4026-abb9-0c33887933bb,Susan Ashton,US,North America,ed20b805-2e45-4ccb-838d-56cfb3947a4c,Margaret Becker,US,North America,3,1994
c389980c-2fc2-4873-9998-ebf022e747ae,Ad de Feijter,NL,Europe,d624920a-a527-4b10-9879-046943f395a8,Pieter Nooten,NL,Europe,2,1994
214e0f62-f9ed-4644-9fed-0a2a71320b33,Joja Wendt,DE,Europe,8a753acb-655c-425b-be4d-c65e70abbb92,Inga Rumpf,DE,Europe,3,1994
0b7ee619-16ed-4e60-b871-6a2111c12b76,James Last,DE,Europe,3164b4f3-bcec-4f1e-978f-7d8de16f1361,Milva,IT,Europe,1,1994
78d2585f-d40f-471d-9423-560361c9d68e,Joe Roberts,GB,Europe,c80427fe-d287-4ca8-a347-04c35297dc9b,Melanie Williams,GB,Europe,1,1995
05517043-ff78-4988-9c22-88c68588ebb9,Paul Simon,US,North America,795058e7-927e-4fcd-a5a0-f57c2fe9d3d1,Michael Brecker,US,North America,5,1995
05517043-ff78-4988-9c22-88c68588ebb9,Paul Simon,US,North America,7433918e-5c12-4a81-8875-06e3a54d2e00,Steve Gadd,US,North America,5,1995
7433918e-5c12-4a81-8875-06e3a54d2e00,Steve Gadd,US,North America,795058e7-927e-4fcd-a5a0-f57c2fe9d3d1,Michael Brecker,US,North America,5,1995
bd53f9a7-8be9-46b0-bf7d-1deea3cb57bc,Robert Plant,GB,Europe,c0b2500e-0cef-4130-869d-732b23ed9df5,Tori Amos,US,North America,2,1995
0f0da09c-3940-4cb5-879f-4cea28907810,Bonnie Raitt,US,North America,4dbf5678-7a31-406a-abbe-232f8ac2cd63,Bryan Adams,CA,North America,2,1995
0b14526c-8d99-47ac-9c3e-0d62ad178dd5,Reel 2 Real,US,North America,d9fc0537-cd51-425d-847f-346025a9b5e9,The Mad Stuntman,TT,Latin America,1,1994
18fdc296-87c6-4b2b-91f0-5039f0651912,Alec Wilder,US,North America,197450cd-0124-4164-b723-3c22dd16494d,Frank Sinatra,US,North America,1,1943
4b1186fb-f54e-451f-ad48-650a733564db,Hanne Boel,DK,Europe,53463ab4-fad7-44d6-ac32-8cd7b223269a,Thomas Helmig,DK,Europe,1,1988
12133eec-2c6c-4689-a102-8a558b82dde9,London Symphony Chorus,GB,Europe,38712b4c-0fd4-4c65-8c7a-45676fecc973,London Symphony Orchestra,GB,Europe,1,1981
12133eec-2c6c-4689-a102-8a558b82dde9,London Symphony Chorus,GB,Europe,28427091-9b18-442b-9e5a-ed02843cd34b,Eduardo Mata,MX,Latin America,1,1981
28427091-9b18-442b-9e5a-ed02843cd34b,Eduardo Mata,MX,Latin America,38712b4c-0fd4-4c65-8c7a-45676fecc973,London Symphony Orchestra,GB,Europe,1,1981
fabe923b-4c57-4f77-b98a-198bf6ddc1b5,Grand Puba,US,North America,fc63d806-ca89-4ea3-a404-ee6de695743f,Shaggy,JM,Latin America,1,1996
090e9c0a-6767-49e0-8f51-84a43226a174,Peter Andre,AU,Oceania,ed166076-af8b-4660-a1b1-e799e1219bc6,Bubbler Ranx,GB,Europe,1,1996
9e4bf2a9-1971-42d2-8742-f9edb00501c2,Michèle Arnaud,FR,Europe,b21ef19b-c6aa-4775-90d3-3cc3e067ce6d,Serge Gainsbourg,FR,Europe,1,1996
537f04cc-897d-4271-a1f2-07776269cafd,Johnny Bragg,US,North America,f68dff8a-4558-4f85-8127-31cc2772141b,The Marigolds,US,North America,1,1996
c878d72d-cccb-4cdf-9626-3e41ee284894,Grayson Hugh,US,North America,eed5f159-4858-4464-93c3-fc2da3796446,Betty Wright,US,North America,1,1996
67a60682-2796-4d90-bc81-b8b9c4aca4d8,Victory,IT,Europe,e4fdecc9-275b-479c-b728-f528bc8be6f0,One Nation,GB,Europe,1,1996
420c6768-0885-415a-bb59-d6a275121125,Paul Anka,CA,North America,faaf1297-2dd0-447d-b562-006876a5f803,Mijares,MX,Latin America,1,1996
420c6768-0885-415a-bb59-d6a275121125,Paul Anka,CA,North America,bc9b7500-0afc-41ba-a056-b0bc81669702,Juan Gabriel,MX,Latin America,1,1996
420c6768-0885-415a-bb59-d6a275121125,Paul Anka,CA,North America,4befe93e-7cb6-4adb-b822-8b19ceb59768,Lucero,MX,Latin America,1,1996
1ee7489a-af64-4ca2-9041-c1d8588b3a97,Roger Troutman,US,North America,7dc35846-c93a-4261-b665-ae750e3afdfb,Johnny Gill,US,North America,1,1996
daa4b4a7-0bcc-4f3b-a243-41cd97dd8477,Münchner Philharmoniker,DE,Europe,fbffac93-a52b-47a8-8f4f-7884157f2670,Pur,DE,Europe,1,1996
136dd883-5a23-4b75-8079-0cd658d76ba1,Double You,IT,Europe,78af8512-afb2-4aa2-b6a2-8cccf1fb2685,Alexia,IT,Europe,1,1996
5441c29d-3602-4898-b1a1-b77fa23b8e50,David Bowie,GB,Europe,be540c02-7898-4b79-9acc-c8122c7d9e83,Pet Shop Boys,GB,Europe,1,1996
7f347782-eb14-40c3-98e2-17b6e1bfe56c,Bono,IE,Europe,d45641da-371c-430e-8907-6086590ab282,Clannad,IE,Europe,1,1996
47f67b22-affe-4fe1-9d25-853d69bc0ee3,Dave Dobbyn,NZ,Oceania,76f369d0-c0dd-4664-9075-a94b99b8ca5c,Herbs,NZ,Oceania,1,1987
9a0038da-314c-4cfa-a320-9a620d20cf34,Foxy Brown,US,North America,f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY‐Z,US,North America,3,1996
2f53411b-ec29-4979-aa46-62786a2bb377,Aaron Neville,US,North America,498f2581-be21-4eef-8756-fbb89d79b1c0,Linda Ronstadt,US,North America,3,1988
07f6d469-38f3-46da-9cfa-2f532422b84e,Joe Jackson,GB,Europe,cf119120-7df5-47d7-9dec-49f8837a4e40,Suzanne Vega,US,North America,1,1997
2957921f-e65b-4598-a1ec-ce5283bda143,Jim McCann,IE,Europe,d201e6c0-103d-4a9a-9969-909bd421ddad,The Dubliners,IE,Europe,1,1997
c3280b8a-2149-473d-b9af-14fa5b16a95f,Stockton’s Wing,IE,Europe,d201e6c0-103d-4a9a-9969-909bd421ddad,The Dubliners,IE,Europe,1,1997
